model,epoch,dataset,loss_type,loss
Logistic Regression,54,val,log_loss,0.252473298063293
Logistic Regression,55,train,log_loss,0.2525967884207883
Logistic Regression,55,val,log_loss,0.25099013688775385
Logistic Regression,56,train,log_loss,0.2521767652045495
Logistic Regression,56,val,log_loss,0.2511362471905009
Logistic Regression,57,train,log_loss,0.25068148631481185
Logistic Regression,57,val,log_loss,0.24942746400939128
Logistic Regression,58,train,log_loss,0.2529741446071671
Logistic Regression,58,val,log_loss,0.25164404444718014
Logistic Regression,59,train,log_loss,0.25030889662456307
Logistic Regression,59,val,log_loss,0.25044702762259385
Logistic Regression,60,train,log_loss,0.2513958478926661
Logistic Regression,60,val,log_loss,0.2496811026405091
Linear SVM,1,train,hinge_loss,1.5233078782175347
Linear SVM,1,val,hinge_loss,1.1606237269769406
Linear SVM,2,train,hinge_loss,0.9206260475187173
Linear SVM,2,val,hinge_loss,0.7702412173563398
Linear SVM,3,train,hinge_loss,0.7912786081634627
Linear SVM,3,val,hinge_loss,0.6743089637075245
Linear SVM,4,train,hinge_loss,0.5780922532581351
Linear SVM,4,val,hinge_loss,0.5040901996520291
Linear SVM,5,train,hinge_loss,0.6247959869122469
Linear SVM,5,val,hinge_loss,0.5432642389114025
Linear SVM,6,train,hinge_loss,0.6152120081756034
Linear SVM,6,val,hinge_loss,0.46113358904993607
Linear SVM,7,train,hinge_loss,0.4386259660387634
Linear SVM,7,val,hinge_loss,0.37331177688565687
Linear SVM,8,train,hinge_loss,0.4342093466351506
Linear SVM,8,val,hinge_loss,0.35911312865871553
Linear SVM,9,train,hinge_loss,0.39551962421688097
Linear SVM,9,val,hinge_loss,0.35252604614058575
Linear SVM,10,train,hinge_loss,0.3700483769894343
Linear SVM,10,val,hinge_loss,0.3142984031531037
Linear SVM,11,train,hinge_loss,0.40112184601982287
Linear SVM,11,val,hinge_loss,0.3326377986777786
Linear SVM,12,train,hinge_loss,0.36004797613550255
Linear SVM,12,val,hinge_loss,0.3189727720244623
Linear SVM,13,train,hinge_loss,0.33875794193397557
Linear SVM,13,val,hinge_loss,0.2936478065094723
Linear SVM,14,train,hinge_loss,0.31479146361396293
