model,train_accuracy,val_accuracy,test_accuracy,precision_macro,recall_macro,f1_macro,train_test_gap
logistic_regression,0.9247606019151847,0.9250185597624351,0.9221775666788454,0.934660976304144,0.9313037385127405,0.9326854456814452,0.0025830352363392928
knn,1.0,0.9190794357832219,0.9247351114358787,0.9370691649750809,0.9334684496232872,0.9350928212572216,0.07526488856412128
svm,0.9366515837104072,0.9287305122494433,0.9360613810741688,0.947479829413524,0.9444201854728425,0.9458991206506504,0.0005902026362384349
mlp,0.930548247921709,0.9235337787676318,0.9265619291194739,0.9373137401692669,0.9349907970875595,0.9360427682026231,0.0039863188022351
random_forest,1.0,0.9220489977728286,0.9214468396054074,0.9334889124700917,0.9305195112112814,0.9319692102924888,0.07855316039459259
xgboost,0.9535936020204147,0.9309576837416481,0.9254658385093167,0.937738407946189,0.9360428622968388,0.9368626530674239,0.028127763511097914
