model,train_accuracy,test_accuracy,train_test_gap
logistic_regression,0.9247606019151847,0.9221775666788454,0.0025830352363392928
knn,1.0,0.9247351114358787,0.07526488856412128
svm,0.9366515837104072,0.9360613810741688,0.0005902026362384349
mlp,0.930548247921709,0.9265619291194739,0.0039863188022351
random_forest,1.0,0.9214468396054074,0.07855316039459259
xgboost,0.9535936020204147,0.9254658385093167,0.028127763511097914
