model,noise_type,noise_strength,baseline_accuracy,test_accuracy,accuracy_drop,relative_drop,train_time_seconds
logistic_regression,gaussian,0.05,0.9221775666788454,0.9218122031421264,0.00036536353671901,0.0003961965134706539,5.2301783000002615
logistic_regression,gaussian,0.1,0.9221775666788454,0.9229082937522836,-0.000730727073438131,-0.0007923930269414282,1.9568712999971467
logistic_regression,gaussian,0.2,0.9221775666788454,0.9188892948483741,0.003288271830471312,0.003565768621236126,1.7380644000004395
logistic_regression,uniform,0.05,0.9221775666788454,0.9218122031421264,0.00036536353671901,0.0003961965134706539,1.8535825999933877
logistic_regression,uniform,0.1,0.9221775666788454,0.9218122031421264,0.00036536353671901,0.0003961965134706539,1.9854105000049458
logistic_regression,uniform,0.2,0.9221775666788454,0.9221775666788454,0.0,0.0,1.7919562999959453
logistic_regression,feature_dropout,0.05,0.9221775666788454,0.9203507489952503,0.001826817683595161,0.00198098256735339,1.9096395000015036
logistic_regression,feature_dropout,0.1,0.9221775666788454,0.917427840701498,0.004749725977347463,0.005150554675118862,1.885547799996857
logistic_regression,feature_dropout,0.2,0.9221775666788454,0.9064669345999269,0.01571063207891854,0.01703645007923932,1.7140455999979167
logistic_regression,label_noise,0.05,0.9221775666788454,0.9141395688710267,0.008037997807818775,0.008716323296354987,1.9144206999990274
logistic_regression,label_noise,0.1,0.9221775666788454,0.9090244793569602,0.013153087321885248,0.014263074484944504,1.9938787000064622
logistic_regression,label_noise,0.2,0.9221775666788454,0.9017172086225794,0.020460358056266004,0.022187004754358183,1.8295973999993294
knn,gaussian,0.05,0.9247351114358788,0.9240043843624406,0.0007307270734382421,0.0007902015013830377,0.0011716000008163974
knn,gaussian,0.1,0.9247351114358788,0.9214468396054074,0.003288271830471423,0.003555906756222949,0.001274100002774503
knn,gaussian,0.2,0.9247351114358788,0.9159663865546218,0.008768724881257017,0.009482418016594411,0.0015149000028031878
knn,uniform,0.05,0.9247351114358788,0.9251004749725977,-0.000365363536718899,-0.0003951007506912787,0.002030600000580307
knn,uniform,0.1,0.9247351114358788,0.9236390208257216,0.001096090610157252,0.0011853022520744365,0.0013859999962733127
knn,uniform,0.2,0.9247351114358788,0.9207161125319693,0.004018998903909554,0.004346108257605867,0.0021344999986467883
knn,feature_dropout,0.05,0.9247351114358788,0.9218122031421264,0.002922908293752413,0.00316080600553155,0.001590200001373887
knn,feature_dropout,0.1,0.9247351114358788,0.917793204238217,0.006941907197661856,0.007506914263137297,0.0019754000022658147
knn,feature_dropout,0.2,0.9247351114358788,0.9192546583850931,0.005480453050785705,0.005926511260371582,0.0016322000010404736
knn,label_noise,0.05,0.9247351114358788,0.9221775666788454,0.002557544757033403,0.0027657052548401514,0.0023634999961359426
knn,label_noise,0.1,0.9247351114358788,0.9221775666788454,0.002557544757033403,0.0027657052548401514,0.0017077000011340715
knn,label_noise,0.2,0.9247351114358788,0.9108512970405553,0.01388381439532349,0.015013828526274354,0.002076700002362486
svm,gaussian,0.05,0.9360613810741688,0.937522835221045,-0.001461454146876151,-0.00156128024980485,0.2718380999940564
svm,gaussian,0.1,0.9360613810741688,0.9353306540007307,0.000730727073438131,0.0007806401249024843,0.20986319999792613
svm,gaussian,0.2,0.9360613810741688,0.9313116550968213,0.004749725977347463,0.005074160811865732,0.23669469999731518
svm,uniform,0.05,0.9360613810741688,0.9367921081476068,-0.00073072707343802,-0.0007806401249023657,0.19182240000372985
svm,uniform,0.1,0.9360613810741688,0.9353306540007307,0.000730727073438131,0.0007806401249024843,0.19073200000275392
svm,uniform,0.2,0.9360613810741688,0.9331384727804165,0.002922908293752302,0.0031225604996097,0.21226119999482762
svm,feature_dropout,0.05,0.9360613810741688,0.9302155644866642,0.005845816587504604,0.0062451209992194,0.22811570000339998
svm,feature_dropout,0.1,0.9360613810741688,0.9258312020460358,0.010230179028133057,0.01092896174863395,0.24197380000259727
svm,feature_dropout,0.2,0.9360613810741688,0.9225429302155644,0.01351845085860437,0.01444184231069483,0.2725563999993028
svm,label_noise,0.05,0.9360613810741688,0.9349652904640117,0.001096090610157141,0.001170960187353667,0.5157020000042394
svm,label_noise,0.1,0.9360613810741688,0.9305809280233832,0.005480453050785594,0.005854800936768217,0.7575634000022546
svm,label_noise,0.2,0.9360613810741688,0.9302155644866642,0.005845816587504604,0.0062451209992194,1.3127970999994432
mlp,gaussian,0.05,0.926561929119474,0.9294848374132262,-0.002922908293752191,-0.0031545741324920133,0.6330207999999402
mlp,gaussian,0.1,0.926561929119474,0.9258312020460358,0.0007307270734382421,0.000788643533123213,0.6821621999988565
mlp,gaussian,0.2,0.926561929119474,0.9258312020460358,0.0007307270734382421,0.000788643533123213,0.6567897999993875
mlp,uniform,0.05,0.926561929119474,0.9269272926561929,-0.000365363536718899,-0.0003943217665613669,0.6071444000044721
mlp,uniform,0.1,0.926561929119474,0.9232736572890026,0.003288271830471423,0.0035488958990537397,0.5131239999973332
mlp,uniform,0.2,0.926561929119474,0.9236390208257216,0.002922908293752413,0.003154574132492253,0.511676099995384
mlp,feature_dropout,0.05,0.926561929119474,0.9247351114358787,0.001826817683595272,0.001971608832807673,0.5419533999956911
mlp,feature_dropout,0.1,0.926561929119474,0.9272926561929119,-0.000730727073437909,-0.0007886435331228536,0.5705630999946152
