model,train_accuracy,val_accuracy,train_val_gap,train_time_seconds,model_path
logistic_regression,0.9247606019151847,0.9250185597624351,-0.0002579578472503563,5.236274900002172,saved_models\logistic_regression.pkl
knn,1.0,0.9190794357832219,0.08092056421677807,0.002807000000757398,saved_models\knn.pkl
svm,0.9366515837104072,0.9287305122494433,0.007921071460963991,0.2638235000013083,saved_models\svm.pkl
mlp,0.930548247921709,0.9235337787676318,0.007014469154077219,0.6587278000006336,saved_models\mlp.pkl
random_forest,1.0,0.9220489977728286,0.07795100222717144,0.5936012999991362,saved_models\random_forest.pkl
xgboost,0.9535936020204147,0.9309576837416481,0.022635918278766542,1.2747257000009995,saved_models\xgboost.pkl
