model,test_samples,avg_inference_time_seconds,per_sample_time_seconds,samples_per_second
logistic_regression,2737,0.00039189999952213837,1.4318596986559678e-07,6983924.4790440155
knn,2737,0.02228888000099687,8.143544026670394e-06,122796.65913574786
svm,2737,0.28609501999890197,0.000104528688344502,9566.751633812097
mlp,2737,0.0012019199988571928,4.39137741635803e-07,2277189.8317711568
random_forest,2737,0.03281834000226809,1.1990624772476468e-05,83398.48998489395
xgboost,2737,0.006335079997370485,2.314607233237298e-06,432038.74317862635
