,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,251,0,16,0,0,1,3
BOMBAY,2,109,0,0,0,0,0
CALI,13,0,303,0,5,1,3
DERMASON,0,0,0,630,0,10,51
HOROZ,2,0,7,5,378,0,10
SEKER,5,0,0,7,0,399,7
SIRA,1,0,1,41,6,4,466
