,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,251,0,14,0,1,2,3
BOMBAY,0,111,0,0,0,0,0
CALI,8,0,308,0,5,2,2
DERMASON,0,0,0,644,0,7,40
HOROZ,2,0,5,5,382,0,8
SEKER,3,0,0,9,0,400,6
SIRA,0,0,0,43,6,4,466
