,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,252,0,16,0,0,1,2
BOMBAY,0,111,0,0,0,0,0
CALI,12,0,302,0,5,2,4
DERMASON,0,0,0,634,0,14,43
HOROZ,2,0,5,6,381,0,8
SEKER,4,0,0,11,0,396,7
SIRA,1,0,1,49,6,5,457
