,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,249,0,15,0,0,2,5
BOMBAY,0,109,2,0,0,0,0
CALI,11,0,302,0,5,2,5
DERMASON,0,0,0,621,0,12,58
HOROZ,2,0,5,5,378,0,12
SEKER,5,0,0,7,0,394,12
SIRA,1,0,1,32,8,6,471
