,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,246,0,16,0,1,3,5
BOMBAY,0,111,0,0,0,0,0
CALI,16,0,298,0,7,2,2
DERMASON,0,0,0,638,0,13,40
HOROZ,2,0,5,3,382,0,10
SEKER,2,0,0,13,0,394,9
SIRA,1,0,1,50,6,8,453
